,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Jan,261.1,245.6,194.5,226.4,347.7,353.7,348.4,318.9,273.9,173.3,309.2
Feb,267,238.7,178,222.5,347.1,376.4,368.9,327.4,270.9,191.1,303.8
Mar,260.2,233.6,184.7,240.3,359.1,374.1,383,358.4,274.9,193,318.4
Apr,277.4,241.7,206.1,244.4,366.3,358.9,394,381.3,282,201.9,339.8
May,297,242,223.2,268,372.9,357.7,378.1,402.1,290,226.1,381.2
Jun,293.8,239.3,228.4,275.3,375.2,359.5,355.6,381.3,277.7,262.9,412.7
Jul,,235.6,222.2,275.8,371.7,369.2,355.9,378.2,276,260.2,413.7
Aug,,242.8,213.7,254.3,353.8,371.5,379,377.3,272,266.7,382.8
Sep,,276.1,215.7,227,342.5,363.9,392.3,369.7,264.8,262.2,360.6
Oct,,255.8,218.5,214.8,323.6,341.5,386.3,352.6,281.2,254.9,305.8
Nov,,259.6,229,212.9,300.9,337,370.9,346,295.3,268.6,228.7
Dec,,254.5,236.1,206.4,272.3,349.3,356.8,335,311.2,265.6,177.8